StoreID,StoreName,Location,Manager
301,Greenwood Mart,New York,Robert King
302,City Center Shop,Los Angeles,Emily Adams
303,Tech Haven,Chicago,Michael Johnson
304,The Urban Market,Houston,Jessica Lee
305,Central Goods,Philadelphia,William Brown
306,Metro Mart,Phoenix,Olivia Davis
307,Oakwood Retail,San Antonio,James Wilson
308,Modern Bazaar,San Diego,Emma Martinez
309,Highland Supplies,Dallas,David Smith
310,Sunset Emporium,San Jose,Isabella Clark
311,Elite Store,San Francisco,Daniel Lewis
312,Global Mart,Seattle,Sophia Walker
313,Metro Bazaar,Denver,Mason Harris
314,Classic Retail,Boston,Ava Lewis
315,Urban Choice,Washington,Lucas White
316,Northside Market,Atlanta,Charlotte Young
317,The Shoppe,Minnesota,Henry Scott
318,Star Retail,Miami,Amelia Hall
319,New Horizons,Orlando,Ethan Allen
320,Southside Mart,Las Vegas,Harper Robinson
