StoreID,StoreName,Location,Manager
301,Greenwood Mart,New York,Robert King
302,City Center Shop,Los Angeles,Emily Adams
303,Tech Haven,Chicago,Michael Johnson
304,The Urban Market,Houston,Jessica Lee
305,Central Goods,Philadelphia,William Brown
306,Metro Mart,Phoenix,Olivia Davis
307,Oakwood Retail,San Antonio,James Wilson
308,Modern Bazaar,San Diego,Emma Martinez
309,Highland Supplies,Dallas,David Smith
310,Sunset Emporium,San Jose,Isabella Clark
311,Elite Store,San Francisco,Daniel Lewis
312,Global Mart,Seattle,Sophia Walker
313,Metro Bazaar,Denver,Mason Harris
314,Classic Retail,Boston,Ava Lewis
315,Urban Choice,Washington,Lucas White
316,Northside Market,Atlanta,Charlotte Young
317,The Shoppe,Minnesota,Henry Scott
318,Star Retail,Miami,Amelia Hall
319,New Horizons,Orlando,Ethan Allen
320,Southside Mart,Las Vegas,Harper Robinson
321,Prime Store,Indianapolis,Jack Turner
322,Great Deals,San Francisco,Grace Martin
323,Value Haven,Charlotte,Samuel Thompson
324,Central Depot,Columbus,Victoria Wright
325,Greenfield Shop,Baltimore,Logan Johnson
326,Riverside Mart,St. Louis,Emily Lewis
327,West End Market,Milwaukee,Aiden Moore
328,Quality Goods,Tampa,Chloe Evans
329,Urban Outfitters,Pittsburgh,James Taylor
330,Neighborhood Shop,New Orleans,Lily Green
331,Daily Essentials,Minneapolis,Jacob Harris
332,Family Mart,Cleveland,Aria Adams
333,City Mart,Honolulu,Jackson Thompson
334,All Seasons Shop,Arlington,Addison Carter
335,Prime Retail,Anchorage,Oliver Wilson
336,Local Bazaar,Omaha,Zoey Edwards
337,First Stop Shop,Kansas City,Alexander Scott
338,Heritage Mart,Virginia Beach,Nora James
339,Urban Mart,Atlanta,Matthew Miller
340,Northside Store,Seattle,Lucy Brown
341,Peak Retail,Chicago,Jack White
342,Daily Shop,St. Paul,Harper Lewis
343,Metro Market,Jacksonville,Liam King
344,Green Mart,Nashville,Zoey Anderson
345,City Goods,Detroit,Charlotte Martinez
346,Neighborhood Market,Denver,Daniel Lee
347,Great Deal Store,San Diego,Amelia Brown
348,Value Mart,Boston,Elijah Wright
349,Global Shop,San Antonio,Oliver Davis
350,Westside Retail,Orlando,Isabella Allen
